Markdown files scanned: 70
Links resolved OK (file): 62
Directory links OK: 4
BROKEN (missing file): 44
BROKEN anchors: 0
External http(s): 15
---DETAILS---
DIR-OK	MEMORY_MAP.md	research/legacy-evidence/	(tracked dir)
DIR-OK	MEMORY_MAP.md	research/migration/	(tracked dir)
DIR-OK	MEMORY_MAP.md	research/examinations/	(tracked dir)
MISSING	research/legacy-evidence/failed-slice-0/CURRENT_STATE.md	experiments/slice-0/fixture/raw_letters/L-0658.query.md	(resolved research\legacy-evidence\failed-slice-0\experiments\slice-0\fixture\raw_letters\L-0658.query.md)
MISSING	research/legacy-evidence/failed-slice-0/CURRENT_STATE.md	experiments/slice-0/fixture/raw_letters/L-0658.result.md	(resolved research\legacy-evidence\failed-slice-0\experiments\slice-0\fixture\raw_letters\L-0658.result.md)
MISSING	research/legacy-evidence/failed-slice-0/CURRENT_STATE.md	experiments/slice-0/fixture/raw_letters/L-0660.query.md	(resolved research\legacy-evidence\failed-slice-0\experiments\slice-0\fixture\raw_letters\L-0660.query.md)
MISSING	research/legacy-evidence/failed-slice-0/CURRENT_STATE.md	experiments/slice-0/fixture/raw_letters/L-0660.result.md	(resolved research\legacy-evidence\failed-slice-0\experiments\slice-0\fixture\raw_letters\L-0660.result.md)
MISSING	research/legacy-evidence/failed-slice-0/CURRENT_STATE.md	experiments/slice-0/fixture/raw_letters/L-0662.query.md	(resolved research\legacy-evidence\failed-slice-0\experiments\slice-0\fixture\raw_letters\L-0662.query.md)
MISSING	research/legacy-evidence/failed-slice-0/CURRENT_STATE.md	experiments/slice-0/fixture/raw_letters/L-0662.result.md	(resolved research\legacy-evidence\failed-slice-0\experiments\slice-0\fixture\raw_letters\L-0662.result.md)
MISSING	research/legacy-evidence/failed-slice-0/CURRENT_STATE.md	experiments/slice-0/fixture/raw_letters/L-0666.query.md	(resolved research\legacy-evidence\failed-slice-0\experiments\slice-0\fixture\raw_letters\L-0666.query.md)
MISSING	research/legacy-evidence/failed-slice-0/CURRENT_STATE.md	experiments/slice-0/fixture/raw_letters/L-0666.result.md	(resolved research\legacy-evidence\failed-slice-0\experiments\slice-0\fixture\raw_letters\L-0666.result.md)
MISSING	research/legacy-evidence/failed-slice-0/CURRENT_STATE.md	experiments/slice-0/fixture/raw_letters/L-0667.query.md	(resolved research\legacy-evidence\failed-slice-0\experiments\slice-0\fixture\raw_letters\L-0667.query.md)
MISSING	research/legacy-evidence/failed-slice-0/CURRENT_STATE.md	experiments/slice-0/fixture/raw_letters/L-0667.result.md	(resolved research\legacy-evidence\failed-slice-0\experiments\slice-0\fixture\raw_letters\L-0667.result.md)
MISSING	research/legacy-evidence/failed-slice-0/CURRENT_STATE.md	experiments/slice-0/fixture/raw_letters/L-0669.query.md	(resolved research\legacy-evidence\failed-slice-0\experiments\slice-0\fixture\raw_letters\L-0669.query.md)
MISSING	research/legacy-evidence/failed-slice-0/CURRENT_STATE.md	experiments/slice-0/fixture/raw_letters/L-0669.result.md	(resolved research\legacy-evidence\failed-slice-0\experiments\slice-0\fixture\raw_letters\L-0669.result.md)
MISSING	research/legacy-evidence/failed-slice-0/CURRENT_STATE.md	experiments/slice-0/fixture/raw_letters/L-0674.query.md	(resolved research\legacy-evidence\failed-slice-0\experiments\slice-0\fixture\raw_letters\L-0674.query.md)
MISSING	research/legacy-evidence/failed-slice-0/CURRENT_STATE.md	experiments/slice-0/fixture/raw_letters/L-0674.result.md	(resolved research\legacy-evidence\failed-slice-0\experiments\slice-0\fixture\raw_letters\L-0674.result.md)
MISSING	research/legacy-evidence/failed-slice-0/CURRENT_STATE.md	experiments/slice-0/fixture/raw_letters/L-0680.query.md	(resolved research\legacy-evidence\failed-slice-0\experiments\slice-0\fixture\raw_letters\L-0680.query.md)
MISSING	research/legacy-evidence/failed-slice-0/CURRENT_STATE.md	experiments/slice-0/fixture/raw_letters/L-0680.result.md	(resolved research\legacy-evidence\failed-slice-0\experiments\slice-0\fixture\raw_letters\L-0680.result.md)
MISSING	research/legacy-evidence/failed-slice-0/CURRENT_STATE.md	experiments/slice-0/fixture/raw_letters/L-0759.query.md	(resolved research\legacy-evidence\failed-slice-0\experiments\slice-0\fixture\raw_letters\L-0759.query.md)
MISSING	research/legacy-evidence/failed-slice-0/CURRENT_STATE.md	experiments/slice-0/fixture/raw_letters/L-0759.result.md	(resolved research\legacy-evidence\failed-slice-0\experiments\slice-0\fixture\raw_letters\L-0759.result.md)
MISSING	research/legacy-evidence/failed-slice-0/CURRENT_STATE.md	experiments/slice-0/fixture/raw_letters/L-0767.query.md	(resolved research\legacy-evidence\failed-slice-0\experiments\slice-0\fixture\raw_letters\L-0767.query.md)
MISSING	research/legacy-evidence/failed-slice-0/CURRENT_STATE.md	experiments/slice-0/fixture/raw_letters/L-0767.result.md	(resolved research\legacy-evidence\failed-slice-0\experiments\slice-0\fixture\raw_letters\L-0767.result.md)
MISSING	research/legacy-evidence/failed-slice-0/CURRENT_STATE.md	experiments/slice-0/fixture/raw_letters/L-0768.query.md	(resolved research\legacy-evidence\failed-slice-0\experiments\slice-0\fixture\raw_letters\L-0768.query.md)
MISSING	research/legacy-evidence/failed-slice-0/CURRENT_STATE.md	experiments/slice-0/fixture/raw_letters/L-0768.result.md	(resolved research\legacy-evidence\failed-slice-0\experiments\slice-0\fixture\raw_letters\L-0768.result.md)
MISSING	research/legacy-evidence/failed-slice-0/CURRENT_STATE.md	experiments/slice-0/fixture/raw_letters/L-0658.query.md	(resolved research\legacy-evidence\failed-slice-0\experiments\slice-0\fixture\raw_letters\L-0658.query.md)
MISSING	research/legacy-evidence/failed-slice-0/CURRENT_STATE.md	experiments/slice-0/fixture/raw_letters/L-0658.result.md	(resolved research\legacy-evidence\failed-slice-0\experiments\slice-0\fixture\raw_letters\L-0658.result.md)
MISSING	research/legacy-evidence/failed-slice-0/CURRENT_STATE.md	experiments/slice-0/fixture/raw_letters/L-0660.query.md	(resolved research\legacy-evidence\failed-slice-0\experiments\slice-0\fixture\raw_letters\L-0660.query.md)
MISSING	research/legacy-evidence/failed-slice-0/CURRENT_STATE.md	experiments/slice-0/fixture/raw_letters/L-0660.result.md	(resolved research\legacy-evidence\failed-slice-0\experiments\slice-0\fixture\raw_letters\L-0660.result.md)
MISSING	research/legacy-evidence/failed-slice-0/CURRENT_STATE.md	experiments/slice-0/fixture/raw_letters/L-0662.query.md	(resolved research\legacy-evidence\failed-slice-0\experiments\slice-0\fixture\raw_letters\L-0662.query.md)
